id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
5154,Kepler-224 d,2551,5.9 Earths,15.801,2014
5155,Kepler-224 e,2551,4.54 Earths,15.801,2014
5156,Kepler-225 b,1830,1.87 Earths,16.294,2014
5157,Kepler-225 c,1830,4.04 Earths,16.294,2014
5158,Kepler-226 b,3197,24 Earths,15.563,2014
5159,Kepler-226 c,3197,0.142 Jupiters,15.563,2014
5160,Kepler-226 d,3197,1.98 Earths,15.563,2014
5161,Kepler-227 b,3533,9.85 Earths,15.623,2014
5162,Kepler-227 c,3533,9.48 Earths,15.623,2014
5163,Kepler-228 b,5365,2.96 Earths,15.902,2014
5164,Kepler-228 c,5365,7.75 Earths,15.902,2014
5165,Kepler-228 d,5365,15.4 Earths,15.902,2014
5166,Kepler-229 b,2695,5.48 Earths,16.22,2014
5167,Kepler-229 c,2695,21.5 Earths,16.22,2014
5168,Kepler-229 d,2695,14.2 Earths,16.22,2014
5169,Kepler-22 b,635,36 Earths,11.751,2011
5170,Kepler-230 b,2416,16.8 Earths,15.264,2014
5171,Kepler-230 c,2416,4.82 Earths,15.264,2014
5172,Kepler-231 b,1033,35.4 Earths,15.813,2014
5173,Kepler-231 c,1033,24.1 Earths,15.813,2014
5174,Kepler-232 b,4401,9.69 Earths,15.565,2014
5175,Kepler-232 c,4401,14 Earths,15.565,2014
5176,Kepler-233 b,2794,6.48 Earths,15.477,2014
5177,Kepler-233 c,2794,7.8 Earths,15.477,2014
5178,Kepler-234 b,5653,13.2 Earths,15.747,2014
5179,Kepler-234 c,5653,12.1 Earths,15.747,2014
5180,Kepler-235 b,1396,5.6 Earths,16.567,2014
5181,Kepler-235 c,1396,2.18 Earths,16.567,2014
5182,Kepler-235 d,1396,4.86 Earths,16.567,2014
5183,Kepler-235 e,1396,5.56 Earths,16.567,2014
5184,Kepler-236 b,942,3.09 Earths,16.014,2014
5185,Kepler-236 c,942,4.66 Earths,16.014,2014
5186,Kepler-237 b,2146,2.57 Earths,15.689,2014
5187,Kepler-237 c,2146,4.98 Earths,15.689,2014
5188,Kepler-238 b,5868,3.64 Earths,15.297,2014
5189,Kepler-238 c,5868,6.3 Earths,15.297,2014
5190,Kepler-238 d,5868,9.64 Earths,15.297,2014
5191,Kepler-238 e,5868,0.534 Jupiters,15.297,2013
5192,Kepler-238 f,5868,13.5 Earths,15.297,2013
5193,Kepler-239 b,2114,6.04 Earths,15.252,2014
5194,Kepler-239 c,2114,6.85 Earths,15.252,2014
5195,Kepler-23 b,2726,0.8 Jupiters,13.567,2011
5196,Kepler-23 c,2726,2.7 Jupiters,13.567,2011
5197,Kepler-23 d,2726,17.6 Earths,13.567,2014
5198,Kepler-240 b,2436,2.45 Earths,15.953,2014
